movieId,title,genres,tagging,rating,no_of_ratings,imdbId,tmdbId,year
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,138,3.8866494325899312,68469,114709,862.0,1995
2,Jumanji (1995),Adventure|Children|Fantasy,49,3.246582912721512,27143,113497,8844.0,1995
3,Grumpier Old Men (1995),Comedy|Romance,25,3.173981392364453,15585,113228,15602.0,1995
5,Father of the Bride Part II (1995),Comedy,26,3.0772909396406876,15474,113041,11862.0,1995
6,Heat (1995),Action|Crime|Thriller,127,3.8442108566049575,28683,113277,949.0,1995
7,Sabrina (1995),Comedy|Romance,33,3.371348277890334,15301,114319,11860.0,1995
10,GoldenEye (1995),Action|Adventure|Thriller,66,3.431632714743396,33086,113189,710.0,1995
11,"American President, The (1995)",Comedy|Drama|Romance,35,3.660277594183741,19669,112346,9087.0,1995
12,Dracula: Dead and Loving It (1995),Comedy|Horror,12,2.6696507515473034,4524,112896,12110.0,1995
13,Balto (1995),Adventure|Animation|Children,20,3.3396516393442623,1952,112453,21032.0,1995
14,Nixon (1995),Drama,28,3.4289997075168177,6838,113987,10858.0,1995
15,Cutthroat Island (1995),Action|Adventure|Romance,20,2.730976537729867,3154,112760,1408.0,1995
16,Casino (1995),Crime|Drama,78,3.8023623907394284,21165,112641,524.0,1995
17,Sense and Sensibility (1995),Drama|Romance,75,3.9501262626262625,24552,114388,4584.0,1995
18,Four Rooms (1995),Comedy,48,3.41207034372502,6255,113101,5.0,1995
19,Ace Ventura: When Nature Calls (1995),Comedy,31,2.6420142094488823,24913,112281,9273.0,1995
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,14,2.894482610562473,4658,113845,11517.0,1995
21,Get Shorty (1995),Comedy|Crime|Thriller,51,3.5683684190046305,25699,113161,8012.0,1995
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,21,3.301140445402299,11136,112722,1710.0,1995
23,Assassins (1995),Action|Crime|Thriller,39,3.158796961609526,4871,112401,9691.0,1995
24,Powder (1995),Drama|Sci-Fi,34,3.1793058426721794,9191,114168,12665.0,1995
25,Leaving Las Vegas (1995),Drama|Romance,74,3.6667605973994606,24841,113627,451.0,1995
26,Othello (1995),Drama,15,3.6101387054161163,3028,114057,16420.0,1995
27,Now and Then (1995),Children|Drama,25,3.425106609808102,1876,114011,9263.0,1995
28,Persuasion (1995),Drama|Romance,34,4.036360981308412,3424,114117,17015.0,1995
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,69,3.9187948922585796,10024,112682,902.0,1995
31,Dangerous Minds (1995),Drama,41,3.237586849686494,11802,112792,9909.0,1995
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,131,3.8901925391095067,54846,114746,63.0,1995
34,Babe (1995),Children|Drama,46,3.613834498509874,35903,112431,9598.0,1995
35,Carrington (1995),Drama|Romance,27,3.4987277353689565,1572,112637,47018.0,1995
36,Dead Man Walking (1995),Crime|Drama,72,3.928762262575663,23955,112818,687.0,1995
38,It Takes Two (1995),Children|Comedy,13,2.912921348314607,712,113442,33689.0,1995
39,Clueless (1995),Comedy|Romance,60,3.416287132078037,29422,112697,9603.0,1995
41,Richard III (1995),Drama|War,17,3.849862258953168,5082,114279,31174.0,1995
42,Dead Presidents (1995),Action|Crime|Drama,19,3.0482824427480915,2620,112819,11443.0,1995
43,Restoration (1995),Drama,14,3.4662542182227223,2667,114272,35196.0,1995
44,Mortal Kombat (1995),Action|Adventure|Fantasy,42,2.631852191174225,13098,113855,9312.0,1995
45,To Die For (1995),Comedy|Drama|Thriller,23,3.3727235312274924,9719,114681,577.0,1995
46,How to Make an American Quilt (1995),Drama|Romance,19,3.2685962807438513,3334,113347,11861.0,1995
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,169,4.071687183200579,55240,114369,807.0,1995
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,73,2.9631678689326324,16358,114148,10530.0,1995
49,When Night Is Falling (1995),Drama|Romance,17,3.5671641791044775,268,114916,8391.0,1995
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,162,4.291958829205532,62180,114814,629.0,1995
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,18,3.5328909405654936,10398,113819,11448.0,1995
57,Home for the Holidays (1995),Drama,17,3.3223320158102765,2530,113321,9089.0,1995
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,24,3.964109650433224,13388,110877,11010.0,1994
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,13,3.0712406262333904,7601,113419,11359.0,1995
62,Mr. Holland's Opus (1995),Drama,43,3.7467143285243374,23359,113862,2054.0,1995
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,14,3.121537900874636,2744,116126,10607.0,1996
65,Bio-Dome (1996),Comedy,14,2.3990919993147166,5837,115683,9536.0,1996
68,French Twist (Gazon maudit) (1995),Comedy|Romance,12,3.4540971168437027,1318,113149,4482.0,1995
69,Friday (1995),Comedy,20,3.5508913168487637,5217,113118,10634.0,1995
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,87,3.315466784653309,15821,116367,755.0,1996
71,Fair Game (1995),Action,45,2.3543191800878476,1366,113010,11859.0,1995
72,Kicking and Screaming (1995),Comedy|Drama,23,3.484632683658171,1334,113537,28387.0,1995
73,"Misérables, Les (1995)",Drama|War,15,3.794383003492433,3436,113828,48750.0,1995
76,Screamers (1995),Action|Sci-Fi|Thriller,16,3.018652710681696,3726,114367,9102.0,1995
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,18,3.728026533996683,603,112445,46785.0,1995
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,36,3.2684836184401274,3449,114660,400.0,1995
82,Antonia's Line (Antonia) (1995),Comedy|Drama,40,4.012848751835536,2724,112379,880.0,1995
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,11,3.6491085899513775,617,114039,146599.0,1995
85,Angels and Insects (1995),Drama|Romance,21,3.5389908256880735,2834,112365,8447.0,1995
86,White Squall (1996),Action|Adventure|Drama,38,3.4867564046895354,4606,118158,10534.0,1996
88,Black Sheep (1996),Comedy,16,3.127221940071102,5907,115697,13997.0,1996
89,Nick of Time (1995),Action|Thriller,26,3.1335626253940956,3489,113972,2086.0,1995
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,11,2.51099404489235,2183,114825,12158.0,1995
95,Broken Arrow (1996),Action|Adventure|Thriller,30,3.1095484969242078,25847,115759,9208.0,1996
96,In the Bleak Midwinter (1995),Comedy|Drama,38,3.690661478599222,514,113403,40154.0,1995
98,Shopping (1994),Action|Thriller,68,2.6538461538461537,91,111173,45549.0,1994
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,15,3.7732687260246314,4953,115734,13685.0,1996
